filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
e0df0bb3-0f18-4753-bcb9-d41295694cc3.fast5	e0df0bb3-0f18-4753-bcb9-d41295694cc3	e3690464147f831e944be7d71be5c407b681cbb7	0	802	3	18672.023500	37.598500	30078	TRUE	18672.101000	30016	37.521000	21947	10.174218	0.000000	78.586296	9.868977	78.208229	10.258689
663745c8-991f-476c-a3ee-c3ef95e46757.fast5	663745c8-991f-476c-a3ee-c3ef95e46757	e3690464147f831e944be7d71be5c407b681cbb7	0	2021	4	18683.218750	54.920000	43936	TRUE	18684.017500	43297	54.121250	26386	11.606314	0.000000	76.758705	10.600012	76.695564	10.963058
9722f962-d28d-41dd-b158-8e5f0fb2196d.fast5	9722f962-d28d-41dd-b158-8e5f0fb2196d	e3690464147f831e944be7d71be5c407b681cbb7	0	1841	3	18685.484250	42.522000	34017	TRUE	18685.606750	33919	42.399500	22536	11.402865	0.000000	81.144920	10.234494	80.690842	10.178854
561365ec-ad31-4493-9691-d8c334ba93e2.fast5	561365ec-ad31-4493-9691-d8c334ba93e2	e3690464147f831e944be7d71be5c407b681cbb7	0	1730	3	18621.307000	70.854500	56683	TRUE	18621.593250	56454	70.568250	38001	11.815041	0.000000	76.393188	10.234494	75.212135	10.920318
b247ebb6-46e9-46d1-8027-8a5047511237.fast5	b247ebb6-46e9-46d1-8027-8a5047511237	e3690464147f831e944be7d71be5c407b681cbb7	0	958	1	18596.831500	104.170000	83336	TRUE	18597.017750	83187	103.983750	37367	12.370179	0.000000	79.682846	10.234494	79.130135	10.298841
a0bec60b-c496-47c9-afa9-df3c66009efd.fast5	a0bec60b-c496-47c9-afa9-df3c66009efd	e3690464147f831e944be7d71be5c407b681cbb7	0	1034	2	18663.959750	41.575500	33260	TRUE	18664.336000	32959	41.199250	22513	8.599663	0.000000	77.855255	10.234494	78.514343	10.481475
85a9ea8c-8ea4-4fab-b21c-59ceefd62497.fast5	85a9ea8c-8ea4-4fab-b21c-59ceefd62497	e3690464147f831e944be7d71be5c407b681cbb7	0	144	4	18708.088500	12.304750	9843	TRUE	18708.138500	9803	12.254750	6328	9.284551	0.000000	75.662155	10.234494	74.046059	10.440612
c5954934-e977-42d0-a56e-72abc2fd6748.fast5	c5954934-e977-42d0-a56e-72abc2fd6748	e3690464147f831e944be7d71be5c407b681cbb7	0	43	2	18620.335500	78.870250	63096	TRUE	18620.716750	62791	78.489000	43329	7.853477	0.000000	74.200081	9.503459	73.757393	10.218695
38a483ab-6454-4f29-9d70-5cf8d8490210.fast5	38a483ab-6454-4f29-9d70-5cf8d8490210	e3690464147f831e944be7d71be5c407b681cbb7	0	1967	1	18666.026500	57.921250	46337	TRUE	18666.144000	46243	57.803750	32797	8.610094	0.000000	77.124222	9.503459	76.695564	9.904298
1278e9cd-e27e-48a8-8ca4-fcfa18ee4664.fast5	1278e9cd-e27e-48a8-8ca4-fcfa18ee4664	e3690464147f831e944be7d71be5c407b681cbb7	0	1594	2	18654.127500	32.277000	25821	TRUE	18654.162500	25793	32.242000	17360	11.773186	0.000000	78.220779	10.234494	77.297089	10.198754
